team,adjustPoints_mean,foulPoints_mean,cargoPoints_mean,completeRocketRankingPoint_mean,rocketPoints_mean,rp_mean,sandStormBonusPoints_mean,rocketLowPoints_mean,rocketMidPoints_mean,teleopPoints_mean,win_mean,autoPoints_mean,completedRocketNear_mean,habDockingRankingPoint_mean,completedRocketFar_mean,totalPoints_mean,hatchPanelPoints_mean,foulCount_mean,habClimbPoints_mean,ownPoints_mean,rocketTopPoints_mean,techFoulCount_mean
frc6504,0.0,0.8181818181818182,0.5454545454545454,0.0,-3.0,-0.2727272727272727,0.5454545454545454,-2.4545454545454546,0.0,-0.9090909090909091,0.45454545454545453,0.5454545454545454,0.0,-0.09090909090909091,0.0,0.45454545454545453,-2.5454545454545454,-0.2727272727272727,1.0909090909090908,0.45454545454545453,-0.5454545454545454,0.0
frc3274,0.0,2.4545454545454546,-6.818181818181818,0.0,-3.6363636363636362,-1.2727272727272727,-1.9090909090909092,-1.7272727272727273,-1.0,-15.363636363636363,0.22727272727272727,-1.9090909090909092,0.0,-0.18181818181818182,0.0,-14.818181818181818,-2.5454545454545454,-0.8181818181818182,-6.0,-14.818181818181818,-0.9090909090909091,0.0
frc1123,0.0,-1.3636363636363635,-4.090909090909091,0.0,-3.090909090909091,-0.7272727272727273,-0.2727272727272727,-1.7272727272727273,-1.1818181818181819,-7.909090909090909,0.3181818181818182,-0.2727272727272727,0.0,0.0,0.0,-9.545454545454545,-2.1818181818181817,0.45454545454545453,-1.6363636363636365,-9.545454545454545,-0.18181818181818182,0.0
frc1262,0.0,-0.3333333333333333,7.333333333333333,0.05555555555555555,10.88888888888889,0.6666666666666666,-1.0,6.166666666666667,2.5555555555555554,18.38888888888889,0.8333333333333334,-1.0,0.0,-0.05555555555555555,0.05555555555555555,17.055555555555557,6.555555555555555,0.1111111111111111,4.5,17.055555555555557,2.1666666666666665,0.0
frc346,0.0,-0.05555555555555555,9.5,0.0,5.888888888888889,1.5555555555555556,-0.3333333333333333,6.222222222222222,-0.3333333333333333,26.61111111111111,0.9166666666666666,-0.3333333333333333,0.0,0.5555555555555556,0.0,26.22222222222222,8.11111111111111,-0.16666666666666666,9.0,26.27777777777778,0.0,0.05555555555555555
frc6882,0.0,-0.8125,4.6875,0.0,1.6875,0.0,0.9375,2.125,-0.1875,10.5,0.5625,0.9375,0.0,0.25,0.0,10.625,1.125,0.0625,4.6875,10.6875,-0.25,0.0625
frc539,0.0,1.2142857142857142,-2.5714285714285716,0.07142857142857142,0.21428571428571427,-0.07142857142857142,0.21428571428571427,-0.5,0.42857142857142855,1.1428571428571428,0.5,0.21428571428571427,0.0,0.14285714285714285,0.07142857142857142,2.5714285714285716,-0.14285714285714285,-0.6428571428571429,3.857142857142857,2.642857142857143,0.2857142857142857,0.07142857142857142
frc2106,0.0,0.4117647058823529,-6.176470588235294,0.058823529411764705,-0.8823529411764706,0.4117647058823529,-0.17647058823529413,-1.7058823529411764,0.47058823529411764,-4.411764705882353,0.5294117647058824,-0.17647058823529413,0.0,0.11764705882352941,0.0,-4.176470588235294,-0.35294117647058826,0.058823529411764705,2.1176470588235294,-4.235294117647059,0.35294117647058826,-0.058823529411764705
frc1599,0.0,-1.2352941176470589,-2.4705882352941178,0.0,-2.0588235294117645,0.6470588235294118,1.411764705882353,-1.7058823529411764,-0.47058823529411764,0.9411764705882353,0.5882352941176471,1.411764705882353,0.0,0.17647058823529413,0.0,1.1176470588235294,-1.5294117647058822,0.4117647058823529,4.9411764705882355,1.1176470588235294,0.11764705882352941,0.0
frc5804,0.0,-1.0588235294117647,-2.6470588235294117,0.0,-1.7058823529411764,-0.23529411764705882,2.2941176470588234,-2.0,-0.058823529411764705,-4.352941176470588,0.4117647058823529,2.2941176470588234,0.0,0.0,0.0,-3.1176470588235294,-1.8823529411764706,0.35294117647058826,0.17647058823529413,-3.1176470588235294,0.35294117647058826,0.0
frc977,0.0,1.2941176470588236,3.8823529411764706,0.0,8.117647058823529,1.0588235294117647,2.4705882352941178,4.529411764705882,3.0,9.764705882352942,0.7647058823529411,2.4705882352941178,0.0,0.11764705882352941,0.0,13.529411764705882,5.176470588235294,-0.23529411764705882,0.7058823529411765,13.470588235294118,0.5882352941176471,-0.058823529411764705
